project	file	line	col	category	expected	member	chars_saved	import_based	source
scala3-compiler	compiler/src/scala/quoted/runtime/impl/QuoteMatcher.scala	173	57	call_arg	dotty.tools.dotc.core.Mode	GadtConstraintInference	0	true	GadtConstraintInference
scala3-compiler	compiler/src/scala/quoted/runtime/impl/QuoteMatcher.scala	605	23	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
scala3-compiler	compiler/src/scala/quoted/runtime/impl/QuoteMatcher.scala	605	23	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	88	46	call_arg	dotty.tools.CompileMode	Compile	11	false	CompileMode.Compile
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	90	46	call_arg	dotty.tools.CompileMode	Decompile	11	false	CompileMode.Decompile
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	92	46	call_arg	dotty.tools.CompileMode	PrintTasty	11	false	CompileMode.PrintTasty
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	121	12	match_case	dotty.tools.CompileMode	Guess	11	false	CompileMode.Guess
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	121	32	match_case	dotty.tools.CompileMode	Compile	11	false	CompileMode.Compile
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	123	12	match_case	dotty.tools.CompileMode	Decompile	11	false	CompileMode.Decompile
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	125	12	match_case	dotty.tools.CompileMode	PrintTasty	11	false	CompileMode.PrintTasty
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	127	12	match_case	dotty.tools.CompileMode	Script	11	false	CompileMode.Script
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	26	10	match_case	dotty.tools.CompileMode	Guess	11	false	CompileMode.Guess
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	46	9	call_arg	scala.io.BufferedSource	fromFile	6	false	Source.fromFile
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	16	29	default_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	16	29	default_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	17	30	default_arg	dotty.tools.CompileMode	Guess	11	false	CompileMode.Guess
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	19	39	default_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	19	39	default_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	20	29	default_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	20	29	default_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	21	32	default_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	21	32	default_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	22	30	default_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala3-compiler	compiler/src/dotty/tools/MainGenericCompiler.scala	22	30	default_arg	scala.collection.immutable.List	empty	4	false	List.empty
scala3-compiler	compiler/src/dotty/tools/tasty/besteffort/BestEffortTastyHeaderUnpickler.scala	39	40	call_arg	dotty.tools.tasty.UnpicklerConfig	generic	15	false	UnpicklerConfig.generic
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/WellKnownNames.scala	146	5	typed_decl	dotty.tools.sjs.ir.Names$.MethodName	constructor	10	false	MethodName.constructor
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/WellKnownNames.scala	150	16	call_arg	dotty.tools.sjs.ir.Names$.SimpleMethodName	StaticInitializer	16	false	SimpleMethodName.StaticInitializer
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/WellKnownNames.scala	154	16	call_arg	dotty.tools.sjs.ir.Names$.SimpleMethodName	ClassInitializer	16	false	SimpleMethodName.ClassInitializer
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Version.scala	82	5	typed_decl	dotty.tools.sjs.ir.Version	make	0	true	make
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Version.scala	130	5	typed_decl	dotty.tools.sjs.ir.Version	make	0	true	make
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Version.scala	161	7	if_branch	dotty.tools.sjs.ir.Version	Unversioned	0	true	Unversioned
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Version.scala	167	5	typed_decl	dotty.tools.sjs.ir.Version	make	0	true	make
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/UTF8String.scala	218	55	call_arg	java.nio.charset.CodingErrorAction	REPORT	17	false	CodingErrorAction.REPORT
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/UTF8String.scala	220	41	call_arg	java.nio.CharBuffer	wrap	10	false	CharBuffer.wrap
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1283	14	call_arg	dotty.tools.sjs.ir.Names$.LocalName	This	9	false	LocalName.This
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1730	12	match_case	dotty.tools.sjs.ir.Trees$.MemberNamespace	Public	0	true	Public
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1731	12	match_case	dotty.tools.sjs.ir.Trees$.MemberNamespace	Private	0	true	Private
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1732	12	match_case	dotty.tools.sjs.ir.Trees$.MemberNamespace	PublicStatic	0	true	PublicStatic
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1733	12	match_case	dotty.tools.sjs.ir.Trees$.MemberNamespace	PrivateStatic	0	true	PrivateStatic
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1734	12	match_case	dotty.tools.sjs.ir.Trees$.MemberNamespace	Constructor	0	true	Constructor
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1735	12	match_case	dotty.tools.sjs.ir.Trees$.MemberNamespace	StaticConstructor	0	true	StaticConstructor
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1779	30	if_branch	dotty.tools.sjs.ir.Trees$.MemberNamespace	Private	0	true	Private
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1780	39	if_branch	dotty.tools.sjs.ir.Trees$.MemberNamespace	Constructor	0	true	Constructor
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1781	14	if_branch	dotty.tools.sjs.ir.Trees$.MemberNamespace	Public	0	true	Public
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1785	28	if_branch	dotty.tools.sjs.ir.Trees$.MemberNamespace	PrivateStatic	0	true	PrivateStatic
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1785	47	if_branch	dotty.tools.sjs.ir.Trees$.MemberNamespace	PublicStatic	0	true	PublicStatic
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Trees.scala	1792	7	typed_decl	dotty.tools.sjs.ir.Trees$.MemberNamespace	fromOrdinalUnchecked	15	false	MemberNamespace.fromOrdinalUnchecked
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Transformers.scala	236	37	call_arg	dotty.tools.sjs.ir.Version	Unversioned	0	true	Unversioned
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Transformers.scala	242	41	call_arg	dotty.tools.sjs.ir.Version	Unversioned	0	true	Unversioned
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Transformers.scala	258	39	call_arg	dotty.tools.sjs.ir.Version	Unversioned	0	true	Unversioned
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Transformers.scala	270	9	call_arg	dotty.tools.sjs.ir.Version	Unversioned	0	true	Unversioned
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	83	15	call_arg	java.nio.ByteOrder	BIG_ENDIAN	9	false	ByteOrder.BIG_ENDIAN
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	179	42	typed_decl	dotty.tools.sjs.ir.Position	NoPosition	8	false	Position.NoPosition
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1092	42	typed_decl	dotty.tools.sjs.ir.Position	NoPosition	8	false	Position.NoPosition
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1111	9	call_arg	dotty.tools.sjs.ir.UTF8String	createAcquiringByteArray	10	false	UTF8String.createAcquiringByteArray
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1149	28	call_arg	dotty.tools.sjs.ir.UTF8String	createAcquiringByteArray	10	false	UTF8String.createAcquiringByteArray
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1370	21	call_arg	dotty.tools.sjs.ir.Trees$.ApplyFlags	empty	10	false	ApplyFlags.empty
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1630	66	call_arg	dotty.tools.sjs.ir.OriginalName	NoOriginalName	0	true	NoOriginalName
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1634	21	call_arg	dotty.tools.sjs.ir.Trees$.ClosureFlags	typed	12	false	ClosureFlags.typed
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1645	27	call_arg	dotty.tools.sjs.ir.Trees$.ClosureFlags	typed	12	false	ClosureFlags.typed
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1667	27	call_arg	dotty.tools.sjs.ir.Trees$.ClosureFlags	typed	12	false	ClosureFlags.typed
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1701	16	match_case	dotty.tools.sjs.ir.ClassKind	Class	9	false	ClassKind.Class
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1701	34	match_case	dotty.tools.sjs.ir.ClassKind	ModuleClass	9	false	ClassKind.ModuleClass
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1701	58	match_case	dotty.tools.sjs.ir.ClassKind	Interface	9	false	ClassKind.Interface
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1703	16	match_case	dotty.tools.sjs.ir.ClassKind	HijackedClass	9	false	ClassKind.HijackedClass
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1869	47	call_arg	dotty.tools.sjs.ir.OriginalName	NoOriginalName	0	true	NoOriginalName
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1873	45	call_arg	dotty.tools.sjs.ir.OriginalName	NoOriginalName	0	true	NoOriginalName
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1963	19	call_arg	dotty.tools.sjs.ir.Trees$.MemberFlags	empty	11	false	MemberFlags.empty
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1964	13	call_arg	dotty.tools.sjs.ir.OriginalName	NoOriginalName	0	true	NoOriginalName
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1966	13	call_arg	dotty.tools.sjs.ir.Trees$.OptimizerHints	empty	14	false	OptimizerHints.empty
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	1966	35	call_arg	dotty.tools.sjs.ir.Version	fromInt	7	false	Version.fromInt
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2126	45	call_arg	dotty.tools.sjs.ir.Trees$.MemberNamespace	Constructor	15	false	MemberNamespace.Constructor
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2128	13	call_arg	dotty.tools.sjs.ir.OriginalName	NoOriginalName	0	true	NoOriginalName
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2140	13	call_arg	dotty.tools.sjs.ir.Trees$.OptimizerHints	empty	14	false	OptimizerHints.empty
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2158	11	call_arg	dotty.tools.sjs.ir.Trees$.OptimizerHints	empty	14	false	OptimizerHints.empty
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2181	18	call_arg	dotty.tools.sjs.ir.Trees$.MemberFlags	fromBits	11	false	MemberFlags.fromBits
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2291	11	call_arg	dotty.tools.sjs.ir.Trees$.OptimizerHints	fromBits	14	false	OptimizerHints.fromBits
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2317	11	call_arg	dotty.tools.sjs.ir.Trees$.OptimizerHints	fromBits	14	false	OptimizerHints.fromBits
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2323	11	if_branch	dotty.tools.sjs.ir.Version	Unversioned	0	true	Unversioned
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2595	7	typed_decl	dotty.tools.sjs.ir.Trees$.ApplyFlags	fromBits	10	false	ApplyFlags.fromBits
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2602	7	typed_decl	dotty.tools.sjs.ir.Trees$.ClosureFlags	fromBits	12	false	ClosureFlags.fromBits
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2611	9	if_branch	dotty.tools.sjs.ir.Position	NoPosition	8	false	Position.NoPosition
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2668	9	if_branch	dotty.tools.sjs.ir.Version	fromHash	7	false	Version.fromHash
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2670	9	if_branch	dotty.tools.sjs.ir.Version	Unversioned	0	true	Unversioned
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Serializers.scala	2755	12	if_branch	dotty.tools.sjs.ir.OriginalName	NoOriginalName	12	false	OriginalName.NoOriginalName
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Printers.scala	997	14	match_case	dotty.tools.sjs.ir.ClassKind	Class	9	false	ClassKind.Class
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Printers.scala	998	14	match_case	dotty.tools.sjs.ir.ClassKind	ModuleClass	9	false	ClassKind.ModuleClass
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Printers.scala	999	14	match_case	dotty.tools.sjs.ir.ClassKind	Interface	9	false	ClassKind.Interface
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Printers.scala	1000	14	match_case	dotty.tools.sjs.ir.ClassKind	AbstractJSType	9	false	ClassKind.AbstractJSType
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Printers.scala	1001	14	match_case	dotty.tools.sjs.ir.ClassKind	HijackedClass	9	false	ClassKind.HijackedClass
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Printers.scala	1002	14	match_case	dotty.tools.sjs.ir.ClassKind	JSClass	9	false	ClassKind.JSClass
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Printers.scala	1003	14	match_case	dotty.tools.sjs.ir.ClassKind	JSModuleClass	9	false	ClassKind.JSModuleClass
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Printers.scala	1004	14	match_case	dotty.tools.sjs.ir.ClassKind	NativeJSClass	9	false	ClassKind.NativeJSClass
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Printers.scala	1005	14	match_case	dotty.tools.sjs.ir.ClassKind	NativeJSModuleClass	9	false	ClassKind.NativeJSModuleClass
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/OriginalName.scala	39	5	typed_decl	dotty.tools.sjs.ir.UTF8String	unsafeCreate	10	false	UTF8String.unsafeCreate
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/OriginalName.scala	95	5	typed_decl	dotty.tools.sjs.ir.OriginalName	apply	0	true	apply
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/OriginalName.scala	98	5	typed_decl	dotty.tools.sjs.ir.OriginalName	apply	0	true	apply
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/OriginalName.scala	101	5	typed_decl	dotty.tools.sjs.ir.OriginalName	apply	0	true	apply
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Names.scala	117	9	if_branch	dotty.tools.sjs.ir.Names$.LocalName	This	0	true	This
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Names.scala	186	7	typed_decl	dotty.tools.sjs.ir.Names$.LocalName	fromSimpleFieldName	9	false	LocalName.fromSimpleFieldName
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Names.scala	338	5	typed_decl	dotty.tools.sjs.ir.Names$.SimpleMethodName	Constructor	16	false	SimpleMethodName.Constructor
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Names.scala	342	5	typed_decl	dotty.tools.sjs.ir.Names$.SimpleMethodName	StaticInitializer	16	false	SimpleMethodName.StaticInitializer
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Names.scala	346	5	typed_decl	dotty.tools.sjs.ir.Names$.SimpleMethodName	ClassInitializer	16	false	SimpleMethodName.ClassInitializer
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Names.scala	504	7	typed_decl	dotty.tools.sjs.ir.Names$.MethodName	apply	0	true	apply
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Names.scala	509	7	typed_decl	dotty.tools.sjs.ir.Names$.MethodName	apply	0	true	apply
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Names.scala	513	22	call_arg	dotty.tools.sjs.ir.Names$.SimpleMethodName	Constructor	16	false	SimpleMethodName.Constructor
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Names.scala	523	7	typed_decl	dotty.tools.sjs.ir.Names$.MethodName	apply	0	true	apply
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Names.scala	529	7	typed_decl	dotty.tools.sjs.ir.Names$.MethodName	reflectiveProxy	0	true	reflectiveProxy
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/Hashers.scala	156	7	typed_decl	dotty.tools.sjs.ir.Version	fromHash	7	false	Version.fromHash
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/ClassKind.scala	22	10	match_case	dotty.tools.sjs.ir.ClassKind	Class	0	true	Class
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/ClassKind.scala	22	18	match_case	dotty.tools.sjs.ir.ClassKind	ModuleClass	0	true	ModuleClass
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/ClassKind.scala	27	10	match_case	dotty.tools.sjs.ir.ClassKind	JSClass	0	true	JSClass
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/ClassKind.scala	27	20	match_case	dotty.tools.sjs.ir.ClassKind	JSModuleClass	0	true	JSModuleClass
scala3-compiler	compiler/target/scala3-compiler-bootstrapped/scala-3.8.3-bin-nonbootstrapped/src_managed/main/scalajs-ir-src/org/scalajs/ir/ClassKind.scala	32	10	match_case	dotty.tools.sjs.ir.ClassKind	NativeJSClass	0	true	NativeJSClass
