project	file	line	col	category	expected	member	chars_saved	import_based	source
libretto-core	core/src/main/scala/libretto/util/Async.scala	44	5	typed_decl	libretto.util.Async	later	0	true	later
libretto-core	core/src/main/scala/libretto/util/Async.scala	224	26	ascription	scala.concurrent.Future	successful	6	false	Future.successful
libretto-core	core/src/main/scala/libretto/scaletto/StarterAppScala.scala	13	52	call_arg	scala.concurrent.duration.Duration	Inf	8	false	Duration.Inf
libretto-core	core/src/main/scala/libretto/scaletto/StarterApp.scala	11	39	call_arg	scala.concurrent.duration.Duration	Inf	8	false	Duration.Inf
libretto-core	core/src/main/scala/libretto/scaletto/ScalettoLib.scala	77	5	typed_decl	libretto.puro.PuroLib.SignalingJunction$.Positive	from	26	false	SignalingJunction.Positive.from
libretto-core	core/src/main/scala/libretto/scaletto/ScalettoLib.scala	83	5	typed_decl	libretto.puro.PuroLib.SignalingJunction$.Negative	from	26	false	SignalingJunction.Negative.from
libretto-core	core/src/main/scala/libretto/scaletto/StarterKit.scala	52	38	typed_decl	scala.concurrent.ExecutionContextExecutor	fromExecutor	16	false	ExecutionContext.fromExecutor
libretto-core	core/src/main/scala/libretto/scaletto/impl/Blueprint.scala	40	20	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
libretto-core	core/src/main/scala/libretto/scaletto/impl/Blueprint.scala	40	20	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
libretto-core	core/src/main/scala/libretto/scaletto/impl/Blueprint.scala	46	53	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
libretto-core	core/src/main/scala/libretto/scaletto/impl/Blueprint.scala	46	53	call_arg	scala.collection.immutable.Map	empty	3	false	Map.empty
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	62	7	typed_decl	libretto.scaletto.impl.ScalaFunction	eval	13	false	ScalaFunction.eval
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	62	7	typed_decl	libretto.scaletto.impl.ScalaFunction	eval	13	false	ScalaFunction.eval
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	66	5	typed_decl	libretto.scaletto.impl.-⚬	id	2	false	-⚬.id
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	66	5	typed_decl	libretto.scaletto.impl.-⚬	id	2	false	-⚬.id
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	75	5	typed_decl	libretto.scaletto.impl.-⚬	par	2	false	-⚬.par
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	117	5	typed_decl	libretto.scaletto.impl.-⚬	choice	2	false	-⚬.choice
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	210	5	typed_decl	libretto.scaletto.impl.-⚬	rec	2	false	-⚬.rec
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	220	47	typed_decl	libretto.scaletto.impl.-⚬	ignoreSub	2	false	-⚬.ignoreSub
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	220	47	typed_decl	libretto.scaletto.impl.-⚬	ignoreSub	2	false	-⚬.ignoreSub
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	221	68	typed_decl	libretto.scaletto.impl.-⚬	dupSub	2	false	-⚬.dupSub
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	221	68	typed_decl	libretto.scaletto.impl.-⚬	dupSub	2	false	-⚬.dupSub
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	959	20	call_arg	libretto.lambda.util.NonEmptyList	of	12	false	NonEmptyList.of
libretto-core	core/src/main/scala/libretto/scaletto/impl/FreeScaletto.scala	1008	9	typed_decl	libretto.lambda.util.NonEmptyList	of	12	false	NonEmptyList.of
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	30	5	typed_decl	libretto.scaletto.impl.-⚬	andThen	0	true	andThen
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	47	20	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	47	20	call_arg	scala.collection.immutable.Set	empty	3	false	Set.empty
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	82	7	typed_decl	scala.Option	when	6	false	Option.when
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	114	96	typed_decl	libretto.scaletto.impl.-⚬	andThen	2	false	-⚬.andThen
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	115	96	typed_decl	libretto.scaletto.impl.-⚬	id	2	false	-⚬.id
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	115	96	typed_decl	libretto.scaletto.impl.-⚬	id	2	false	-⚬.id
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	116	96	typed_decl	libretto.scaletto.impl.-⚬	par	2	false	-⚬.par
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	134	69	typed_decl	libretto.scaletto.impl.-⚬	andThen	2	false	-⚬.andThen
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	135	69	typed_decl	libretto.scaletto.impl.-⚬	id	2	false	-⚬.id
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	135	69	typed_decl	libretto.scaletto.impl.-⚬	id	2	false	-⚬.id
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	210	43	call_arg	libretto.scaletto.impl.-⚬	fromBlueprint	0	true	fromBlueprint
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	210	61	call_arg	libretto.scaletto.impl.-⚬	fromBlueprint	0	true	fromBlueprint
libretto-core	core/src/main/scala/libretto/scaletto/impl/-⚬.scala	215	38	call_arg	libretto.scaletto.impl.-⚬	fromBlueprint	0	true	fromBlueprint
libretto-core	core/src/main/scala/libretto/scaletto/impl/futurebased/ResourceRegistry.scala	21	9	if_branch	libretto.scaletto.impl.futurebased.ResourceRegistry$.RegisterResult	RegistryClosed	14	false	RegisterResult.RegistryClosed
libretto-core	core/src/main/scala/libretto/scaletto/impl/futurebased/ResourceRegistry.scala	34	9	if_branch	libretto.scaletto.impl.futurebased.ResourceRegistry$.UnregisterResult	RegistryClosed	16	false	UnregisterResult.RegistryClosed
libretto-core	core/src/main/scala/libretto/scaletto/impl/futurebased/ExecutionImpl.scala	100	24	call_arg	scala.concurrent.Future	successful	6	false	Future.successful
libretto-core	core/src/main/scala/libretto/scaletto/impl/futurebased/ExecutionImpl.scala	103	28	call_arg	scala.concurrent.Future	successful	6	false	Future.successful
libretto-core	core/src/main/scala/libretto/scaletto/impl/futurebased/ExecutionImpl.scala	115	12	typed_decl	libretto.scaletto.impl.futurebased.ExecutionImpl.Frontier	chooseL	0	true	chooseL
libretto-core	core/src/main/scala/libretto/scaletto/impl/futurebased/ExecutionImpl.scala	118	12	typed_decl	libretto.scaletto.impl.futurebased.ExecutionImpl.Frontier	chooseR	0	true	chooseR
libretto-core	core/src/main/scala/libretto/scaletto/impl/futurebased/ExecutionImpl.scala	161	12	call_arg	libretto.scaletto.impl.futurebased.ExecutionImpl.Frontier	One	8	false	Frontier.One
